Name,Year
Toy Story 3,2010
Extremely Loud & Incredibly Close,2011
Hugo,2011
Midnight in Paris,2011
Moneyball,2011
The Tree of Life,2011
War Horse,2011
Amour,2012
Django Unchained,2012
Les Misérables,2012
Dallas Buyers Club,2013
Her,2013
The Wolf of Wall Street,2013
American Sniper,2014
Brooklyn,2015
Mad Max: Fury Road,2015
The Martian,2015
Room,2015
Fences,2016
Hacksaw Ridge,2016
Hell or High Water,2016
Hidden Figures,2016
Lion,2016
The Asphalt Jungle,1950
Death of a Salesman,1951
The Narrow Margin,1952
Baby Doll,1956
A Hatful of Rain,1957
The Children's Hour,1961
Gypsy,1962
Lolita,1962
"My Son, the Hero (Los Hermanos Del Hierro)",1962
The Haunting,1963
The Ugly American,1963
Seven Days in May,1964
Zorba the Greek (Alexis Zorbas),1964
A Man and a Woman,1966
The Fox,1967
"Rachel, Rachel",1968
"Hello, Dolly!",1969
The Secret of Santa Vittoria,1969
Women in Love,1970
Summer of ‘42,1971
Avanti!,1972
Frenzy,1972
Last Tango in Paris,1973
Paper Moon,1973
A Woman Under the Influence,1974
Marathon Man,1976
Close Encounters of the Third Kind,1977
Days of Heaven,1978
Interiors,1978
Being There,1979
Yentl,1983
Fanny and Alexander,1983
Once Upon a Time in America,1984
A Chorus Line,1985
Bird,1988
The Sheltering Sky,1990
The Fisher King,1991
A River Runs Through It,1992
Natural Born Killers,1994
The American President,1995
Casino,1995
A.I. Artificial Intelligence,2001
Adaptation,2002
Flags of Our Fathers,2006
Nocturnal Animals,2016
We Need to Talk About Kevin,2011
The Bourne Ultimatum,2007
The Lives of Others (Das Leben der Anderen),2007
Amlie (Le Fabuleux destin d'Amlie Poulain),2001
"Crouching Tiger, Hidden Dragon (Wo hu cang long)",2000
All About My Mother (Todo sobre mi madre),1999
Romeo + Juliet,1997
Three Colours: Red (Trois couleurs : Rouge),1994
Cinema Paradiso (Nuovo cinema Paradiso),1990
Henry V,1989
Dangerous Liaisons,1989
Mississippi Burning,1989
Platoon,1987
The King of Comedy,1983
Fame,1980
Yanks,1979
A Wedding,1978
Bullitt,1969
if....,1968
 Blood Simple ,1985
 After Hours,1985
 Smooth Talk,1985
 The Trip to Bountiful,1985
 Platoon   ,1986
 Down by Law,1986
 Blue Velvet,1986
 Stand by Me,1986
 Salvador,1986
 The Dead,1987
 Swimming to Cambodia,1987
 River's Edge,1987
 The Big Easy,1987
 Matewan,1987
 Stand and Deliver,1988
 Patti Rocks,1988
 The Thin Blue Line,1988
 Talk Radio,1988
 Hairspray,1988
" Sex, Lies and Videotape",1989
 Mystery Train,1989
 Sidewalk Stories,1989
 True Love,1989
 Drugstore Cowboy,1989
 To Sleep with Anger,1990
 House Party,1990
 Henry: Portrait of a Serial Killer,1990
 Pump Up the Volume,1990
 The Plot Against Harry,1990
 Rambling Rose,1991
 Poison,1991
 Slacker,1991
 My Own Private Idaho,1991
 Hangin' with the Homeboys,1991
 One False Move,1992
 Gas Food Lodging,1992
 Bad Lieutenant,1992
 Swoon,1992
 Reservoir Dogs,1992
 The Wedding Banquet,1993
 Ruby in Paradise,1993
 El Mariachi,1993
 Mac,1993
 Pulp Fiction ,1994
 Red Rock West,1994
 Eat Drink Man Woman,1994
 Death and the Maiden,1994
 Mrs. Parker and the Vicious Circle,1994
 Nadja,1995
 Georgia,1995
 Safe,1995
 The Secret of Roan Inish,1995
 The Funeral,1996
 Flirting with Disaster,1996
 Welcome to the Dollhouse,1996
 Caught,1996
 The Apostle,1997
 Habit,1997
 Ulee's Gold,1997
 Touch,1997
 The End of Violence,1997
 Rushmore,1998
 Velvet Goldmine,1998
 Claire Dolan,1998
 Affliction,1998
 Happiness,1998
 Election,1999
 Julien Donkey-Boy,1999
 Go,1999
 The Straight Story,1999
 The Limey,1999
" Crouching Tiger, Hidden Dragon",2000
 Requiem for a Dream,2000
 Chuck & Buck,2000
 Best in Show,2000
 Before Night Falls,2000
 Memento,2001
 L.I.E.,2001
 Stranger Inside,2001
 Waking Life,2001
 Hedwig and the Angry Inch,2001
 Far from Heaven,2002
 Narc,2002
 Lovely & Amazing,2002
 Ivans Xtc,2002
 Gerry,2002
 Lost in Translation ,2003
 American Splendor,2003
 In America,2003
 Raising Victor Vargas,2003
 Elephant,2003
 Primer,2004
 Maria Full of Grace,2004
 The Motorcycle Diaries,2004
 Baadasssss!,2004
 Brokeback Mountain   ,2005
 Mysterious Skin,2005
 The Squid and the Whale,2005
" Good Night, and Good Luck ",2005
 Nine Lives,2005
 Little Miss Sunshine,2006
 A Prairie Home Companion,2006
 Half Nelson,2006
 The Dead Girl,2006
 Bubble,2006
 The Diving Bell and the Butterfly ,2007
 I'm Not There,2007
 The Savages,2007
 Juno ,2007
 Paranoid Park,2007
 The Visitor,2008
 Chop Shop,2008
 Rachel Getting Married,2008
 Ballast,2008
 Frozen River,2008
 Precious,2009
 A Serious Man,2009
 Sin Nombre,2009
 Two Lovers,2009
 The Last Station,2009
 Black Swan,2010
 127 Hours,2010
 The Kids Are All Right,2010
 Winter's Bone,2010
 Rabbit Hole,2010
 The Artist   ,2011
 Beginners,2011
 Take Shelter,2011
 The Descendants ,2011
 Drive,2011
 Silver Linings Playbook ,2012
 Moonrise Kingdom,2012
 The Loneliest Planet,2012
 Keep the Lights On,2012
 Beasts of the Southern Wild ,2012
 Upstream Color,2013
 All Is Lost,2013
 Mud,2013
 Nebraska ,2013
 Whiplash,2014
 Selma,2014
 Birdman or (The Unexpected Virtue of Ignorance)�,2014
" Kumiko, the Treasure Hunter",2014
 Tangerine,2015
 Beasts of No Nation,2015
 Carol,2015
 Anomalisa,2015
 It Follows,2015
 Moonlight ,2016
 American Honey,2016
 Jackie,2016
 Loving,2016
 Certain Women,2016
Psycho,1960
La Dolce Vita,1961
Divorce Italian Style,1962
David and Lisa,1962
Woman in the Dunes,1965
Blowup,1966
2001: A Space Odyssey,1968
The Battle of Algiers,1968
Alice's Restaurant,1969
Fellini Satyricon,1970
Sleuth,1972
Day for Night,1974
Amarcord,1975
Face to Face,1976
Seven Beauties,1976
La Cage aux Folles,1979
Das Boot,1982
Broadway Danny Rose,1984
Ran,1985
Blue Velvet,1986
My Life as a Dog,1987
The Last Temptation of Christ,1988
The Grifters,1990
Boyz n the Hood,1991
Short Cuts,1993
Bullets over Broadway,1994
Three Colors: Red,1994
Dead Man Walking,1995
The Sweet Hereafter,1997
Black Hawk Down,2001
Talk to Her,2002
City of God,2003
Cyrano de Bergerac,1950
The Magnificent Yankee,1950
Harvey,1950
The Actress,1953
The Inn of the Sixth Happiness,1958
The Old Man and the Sea,1958
Career,1959
Look Back in Anger,1959
Middle of the Night,1959
A Raisin in the Sun,1961
The Wonderful World of the Brothers Grimm,1962
Birdman of Alcatraz,1962
Sweet Bird of Youth,1962
Love with the Proper Stranger,1963
Rio Conchos,1964
The Agony and the Ecstasy,1965
The Pawnbroker,1965
Hawaii,1966
Cool Hand Luke,1967
The Boston Strangler,1968
True Grit,1969
Popi,1969
I Never Sang for My Father,1970
The Great White Hope,1970
Carnal Knowledge,1971
The Hospital,1971
Serpico,1973
Electra Glide in Blue,1973
Save the Tiger,1973
Papillon,1973
The Last Detail,1973
The Gambler,1974
French Connection II,1975
The Man in the Glass Booth,1975
"Give 'em Hell, Harry!",1975
Equus,1977
A Special Day,1977
Bobby Deerfield,1977
MacArthur,1977
Heroes,1977
Magic,1978
The Boys from Brazil,1978
...And Justice for All,1979
The Champ,1979
The Onion Field,1979
Tribute,1980
Taps,1981
Shoot the Moon,1982
The Grey Fox,1983
Scarface,1983
Star 80,1983
Starman,1984
Under the Volcano,1984
Twice in a Lifetime,1985
The Mosquito Coast,1986
Round Midnight,1986
The Color of Money,1986
Wall Street,1987
Ironweed,1987
Weeds,1987
Dominick and Eugene,1988
Stand and Deliver,1988
Dad,1989
Sea of Love,1989
The Field,1990
Cape Fear,1991
Chaplin,1992
Hoffa,1992
Malcolm X,1992
Philadelphia,1993
Nobody's Fool,1994
Mr. Holland's Opus,1995
Nixon,1995
Richard III,1995
Ransom,1996
Michael Collins,1996
Ulee's Gold,1997
Wilde,1998
Affliction,1998
The Straight Story,1999
Training Day,2001
The Quiet American,2002
House of Sand and Fog,2003
The Sea Inside,2004
Hustle & Flow,2005
"Good Night, and Good Luck.",2005
Venus,2006
The Pursuit of Happyness,2006
Crazy Heart,2009
A Single Man,2009
Brothers,2009
Blue Valentine,2010
J. Edgar,2011
Shame,2011
Arbitrage,2012
The Sessions,2012
Flight,2012
Mandela: Long Walk to Freedom,2013
Trumbo,2015
Steve Jobs,2015
The Danish Girl,2015
Concussion,2015
Captain Fantastic,2016
A Double Life,1947
The Hasty Heart,1949
The Entertainer,1960
Crime and Punishment U.S.A.,1960
No Love for Johnnie,1961
Victim,1961
Ballada o soldate,1961
The Best of Enemies,1961
Le Trou,1961
The Dock Brief,1962
Term of Trial,1962
"Lon Morin, prtre",1962
Lonely are the Brave,1962
Light in the Piazza,1962
Advise and Consent,1962
Une aussi longue absence,1962
Divorzio all'italiana,1963
Accattone,1963
King and Country,1964
Inspector Jacques Clouseau,1964
"Ieri, oggi, domani",1964
Charade,1964
Lilies of the Field,1964
The Ipcress File,1965
William Ewart Gladstone,1966
The Pawnbroker,1966
Pierrot le Fou,1966
A Patch of Blue,1966
The Spy Who Came in from the Cold,1966
A Man for All Seasons,1967
The Taming of the Shrew,1967
The Deadly Affair,1967
Campanadas a medianoche,1967
Guess Who's Coming to Dinner,1968
The Charge of the Light Brigade,1968
The Bofors Gun,1968
Inadmissible Evidence,1969
Sundance Kid,1970
Trapper John McIntyre,1970
Morte a Venezia,1971
Gumshoe,1971
Little Big Man,1971
"Jimmy ""Popeye"" Doyle",1972
Vito Corleone,1972
Young Winston,1972
Ultimo tango a Parigi,1973
Sleuth,1973
Serpico,1974
Michael Corleone,1975
Sonny Wortzik,1975
"Jimmy ""Popeye"" Doyle",1975
Lenny,1975
Carl Bernstein,1976
The Goodbye Girl,1978
Death on the Nile,1978
All That Jazz,1980
Raging Bull,1981
The Long Good Friday,1981
Reds,1982
The Honorary Consul,1983
Crocodile Dundee,1986
The Name of the Rose,1987
Prick Up Your Ears,1987
Fatal Attraction,1988
"Good Morning, Vietnam",1988
Rain Man,1989
The Hunt for Red October,1990
Born on the Fourth of July,1990
Cyrano de Bergerac,1991
"Truly, Madly, Deeply",1991
The Last of the Mohicans,1992
"The Adventures of Priscilla, Queen of the Desert",1994
Carrington,1995
Richard III,1996
Nil by Mouth,1997
Life Is Beautiful (La vita  bella),1998
Little Voice,1998
Topsy-Turvy,1999
Iris,2001
21 Grams,2003
Pirates of the Caribbean: The Curse of the Black Pearl,2003
The Motorcycle Diaries (Diarios de motocicleta),2004
Casino Royale,2006
The History Boys,2006
Sex and Drugs and Rock and Roll,2009
Biutiful,2010
House Party,1990
Henry: Portrait of a Serial Killer,1990
Pump Up the Volume,1990
My Own Private Idaho,1991
Rambling Rose,1991
Rosencrantz & Guildenstern Are Dead,1991
Pastime,1991
Bad Lieutenant,1992
Swoon,1992
Deep Cover,1992
Laws of Gravity,1992
Zebrahead,1992
American Heart,1993
Household Saints,1993
Menace II Society,1993
Oleanna,1994
Mrs. Parker and the Vicious Circle,1994
I Like It Like That,1994
Little Odessa,1995
My Family,1995
Swimming with Sharks,1995
The Apostle,1997
"Ulysses ""Ulee"" Jackson ",1997
Corky St. Clair,1997
Sydney Brown,1997
Al Fountain,1997
Bill Maplewood,1998
Wade Whitehouse ,1998
Eddie,1998
John Williams,1998
Craig Schwartz,1999
Wilson,1999
"Joe ""Jumpin"" Gastineau",1999
Ace Barker,1999
Restaurant,2000
Jesus' Son,2000
The Visit,2000
The Believer,2001
Donnie Darko,2001
Antwone Fisher,2002
Skins,2002
Ivans Xtc,2002
Dahmer,2002
Roger Dodger,2002
The Station Agent,2003
Soldier's Girl,2003
The Woodsman,2004
The Door in the Floor,2004
Redemption,2004
Thank You for Smoking,2006
The Painted Veil,2006
Man Push Cart,2006
The Savages,2007
August Evening,2007
Talk to Me,2007
Starting Out in the Evening,2007
"Lust, Caution",2007
Vicky Cristina Barcelona,2008
The Visitor,2008
The Hurt Locker,2008
Goodbye Solo,2009
The Vicious Kind,2009
Daddy Longlegs,2010
Rabbit Hole,2010
Cyrus,2010
A Better Life,2011
Rampart,2011
Take Shelter,2011
Killer Joe,2012
Four,2012
Fruitvale Station,2013
Jimi: All Is by My Side,2014
James White,2015
Mississippi Grind,2015
The End of the Tour,2015
Mediterranea,2015
Free in Deed,2016
Other People,2016
Blood Simple,1985
Crossover Dreams,1985
Wildrose,1985
Salvador,1986
Native Son,1986
Swimming to Cambodia,1987
The Stepfather,1987
Barfly,1987
Best Seller,1987
Talk Radio,1988
Torch Song Trilogy,1988
The Boost,1988
Drugstore Cowboy,1989
Vampire's Kiss,1989
Sidewalk Stories,1989
Parents,1989
"Sex, Lies, and Videotape",1989
Life as a House,2001
I Am Sam,2001
Lars and the Real Girl,2007
Get Low,2010
The Butler,2013
Black Mass,2015
"Cry, the Beloved Country",1995
Il Postino: The Postman (Il postino),1995
Sling Blade,1996
Life Is Beautiful (La vita è bella),1998
Flawless,1999
The Mark,1961
Cat Ballou,1965
The Spy Who Came in from the Cold,1965
Othello,1965
"The Russians Are Coming, the Russians Are Coming",1966
"Goodbye, Mr. Chips",1969
Kotch,1971
The Ruling Class,1972
Harry and Tonto,1974
The Sunshine Boys,1975
Saturday Night Fever,1977
The Buddy Holly Story,1978
The Great Santini,1980
Arthur,1981
Absence of Malice,1981
My Favorite Year,1982
Murphy's Romance,1985
Dark Eyes,1987
"Good Morning, Vietnam",1987
Big,1988
Pelle the Conqueror,1988
Cyrano de Bergerac,1990
What's Love Got to Do with It,1993
The Madness of King George,1994
Il Postino,1995
American History X,1998
Sweet and Lowdown,1999
Pollock,2000
Hustle and Flow,2005
In the Valley of Elah,2007
Sunset Boulevard,1950
All About Eve,1950
Born Yesterday,1950
The Blue Veil,1951
A Streetcar Named Desire,1951
A Place in the Sun,1951
"Come Back, Little Sheba",1952
Sudden Fear,1952
My Cousin Rachel,1952
Roman Holiday,1953
The Country Girl,1954
The Rose Tattoo,1955
Anastasia,1956
Baby Doll,1956
War and Peace,1956
The Rainmaker,1956
The Three Faces of Eve,1957
Witness for the Prosecution,1957
"Heaven Knows, Mr. Allison",1957
Wild is the Wind,1957
A Hatful of Rain,1957
I Want to Live!,1958
The Inn of the Sixth Happiness,1958
Separate Tables,1958
Some Came Running,1958
Home Before Dark,1958
"Suddenly, Last Summer",1959
The Nun's Story,1959
Anatomy of a Murder,1959
Room at the Top,1959
Sunrise at Campobello,1960
Midnight Lace,1960
The World of Suzie Wong,1960
Elmer Gantry,1960
Butterfield 8,1960
Summer and Smoke,1961
Fanny,1961
The Children's Hour,1961
A Raisin in the Sun,1961
Splendor in the Grass,1961
Sweet Bird of Youth,1962
The Miracle Worker,1962
What Ever Happened to Baby Jane?,1962
Long Day's Journey Into Night,1962
The Chapman Report,1962
Phaedra,1962
Days of Wine and Roses,1962
Hemingway's Adventures of a Young Man,1962
Lolita,1962
Freud,1962
The L-Shaped Room,1963
The Caretakers,1963
Toys in the Attic,1963
This Sporting Life,1963
The Cardinal,1963
The Paper Man,1963
The Conjugal Bed,1963
Love with the Proper Stranger,1963
The Pumpkin Eater,1964
The Night of the Iguana,1964
Circus World,1964
Dear Heart,1964
Lilith,1964
The Collector,1965
Darling,1965
A Patch of Blue,1965
Ship of Fools,1965
Othello,1965
A Man and a Woman,1966
The Shop on Main Street,1966
Born Free,1966
Who's Afraid of Virginia Woolf?,1966
This Property Is Condemned,1966
The Whisperers,1967
Bonnie and Clyde,1967
Wait Until Dark,1967
Guess Who's Coming to Dinner,1967
The Fox,1967
"Rachel, Rachel",1968
Rosemary's Baby,1968
The Lion in Winter,1968
Isadora,1968
The Killing of Sister George,1968
Anne of the Thousand Days,1969
"They Shoot Horses, Don't They?",1969
The Sterile Cuckoo,1969
The Happy Ending,1969
The Prime of Miss Jean Brodie,1969
Love Story,1970
Puzzle of a Downfall Child,1970
Women in Love,1970
Promise at Dawn,1970
Ryan's Daughter,1970
Klute,1971
Such Good Friends,1971
"Mary, Queen of Scots",1971
Play Misty For Me,1971
The Emigrants,1972
Lady Sings the Blues,1972
Sounder,1972
One is a Lonely Number,1972
Play It as It Lays,1972
The Effect of Gamma Rays on Man-in-the-Moon Marigolds,1972
Cinderella Liberty,1973
The Exorcist,1973
The Way We Were,1973
Ash Wednesday,1973
"Summer Wishes, Winter Dreams",1973
A Woman Under the Influence,1974
Alice Doesn't Live Here Anymore,1974
Chinatown,1974
Lenny,1974
Scenes From a Marriage,1974
One Flew Over the Cuckoo's Nest,1975
The Day of the Locust,1975
Three Days of the Condor,1975
The Other Side of the Mountain,1975
Hedda,1975
Network,1976
The Incredible Sarah,1976
The Sailor Who Fell from Grace with the Sea,1976
Rocky,1976
Face to Face,1976
Julia,1977
The Turning Point,1977
Looking for Mr. Goodbar,1977
I Never Promised You a Rose Garden,1977
Opening Night,1977
Coming Home,1978
Autumn Sonata,1978
An Unmarried Woman,1978
Stevie,1978
Interiors,1978
Norma Rae,1979
La Luna,1979
Yanks,1979
The China Syndrome,1979
Promises in the Dark,1979
Ordinary People,1980
Resurrection,1980
Tess,1980
Touched by Love,1980
Gloria,1980
The French Lieutenant's Woman,1981
Absence of Malice,1981
On Golden Pond,1981
Reds,1981
Raggedy Man,1981
Sophie's Choice,1982
Shoot the Moon,1982
Frances,1982
Missing,1982
An Officer and a Gentleman,1982
Terms of Endearment,1983
Testament,1983
Heart Like a Wheel,1983
Silkwood,1983
Places in the Heart,1984
Mrs. Soffel,1984
Country,1984
The Bostonians,1984
The River,1984
The Color Purple,1985
Agnes of God,1985
Mask,1985
The Trip to Bountiful,1985
Out of Africa,1985
Children of a Lesser God,1986
Duet for One,1986
"'night, Mother",1986
Extremities,1986
Aliens,1986
Anna,1987
Gaby: A True Story,1987
Fatal Attraction,1987
Barfly,1987
Nuts,1987
The Accused,1988
Madame Sousatzka,1988
Gorillas in the Mist,1988
Running on Empty,1988
A Cry in the Dark,1988
The Fabulous Baker Boys,1989
Steel Magnolias,1989
Music Box,1989
"Sex, Lies, and Videotape",1989
The Rose Garden,1989
Misery,1990
The Grifters,1990
The Russia House,1990
White Palace,1990
Mr. & Mrs. Bridge,1990
The Silence of the Lambs,1991
Bugsy,1991
Thelma & Louise,1991
Rambling Rose,1991
Howards End,1992
Passion Fish,1992
Love Field,1992
Lorenzo's Oil,1992
Basic Instinct,1992
The Piano,1993
Three Colors: Blue,1993
The Age of Innocence,1993
The Remains of the Day,1993
A Dangerous Woman,1993
Blue Sky,1994
Nell,1994
Mrs. Parker and the Vicious Circle,1994
Tom & Viv,1994
The River Wild,1994
Casino,1995
Dead Man Walking,1995
Leaving Las Vegas,1995
The Bridges of Madison County,1995
Sense and Sensibility,1995
Secrets & Lies,1996
The People vs. Larry Flynt,1996
The English Patient,1996
Marvin's Room,1996
Breaking the Waves,1996
Mrs. Brown,1997
The Wings of the Dove,1997
Contact,1997
A Thousand Acres,1997
Titanic,1997
Elizabeth,1998
Central Station,1998
Stepmom,1998
One True Thing,1998
Hilary and Jackie,1998
Boys Don't Cry,1999
American Beauty,1999
The End of the Affair,1999
Music of the Heart,1999
A Map of the World,1999
Erin Brockovich,2000
The Contender,2000
Dancer in the Dark,2000
Requiem for a Dream,2000
You Can Count on Me,2000
In the Bedroom,2001
Monster's Ball,2001
Iris,2001
The Others,2001
The Deep End,2001
The Hours,2002
Frida,2002
Unfaithful,2002
Far from Heaven,2002
Monster,2003
Veronica Guerin,2003
Girl with a Pearl Earring,2003
Cold Mountain,2003
Kill Bill: Volume 1,2003
Thirteen,2003
Million Dollar Baby,2004
A Love Song for Bobby Long,2004
Birth,2004
Vera Drake,2004
Kill Bill: Volume 2,2004
Transamerica,2005
A History of Violence,2005
Proof,2005
North Country,2005
Memoirs of a Geisha,2005
The Queen,2006
Volver,2006
Notes on a Scandal,2006
Sherrybaby,2006
Little Children,2006
Away from Her,2007
Elizabeth: The Golden Age,2007
The Brave One,2007
A Mighty Heart,2007
Atonement,2007
Revolutionary Road,2008
Rachel Getting Married,2008
Changeling,2008
I've Loved You So Long,2008
Doubt,2008
The Blind Side,2009
The Young Victoria,2009
The Last Station,2009
An Education,2009
Precious,2009
Black Swan,2010
Frankie and Alice,2010
Rabbit Hole,2010
Winter's Bone,2010
Blue Valentine,2010
The Iron Lady,2011
Albert Nobbs,2011
The Help,2011
The Girl with the Dragon Tattoo,2011
We Need to Talk About Kevin,2011
Zero Dark Thirty,2012
Rust and Bone,2012
Hitchcock,2012
The Impossible,2012
The Deep Blue Sea,2012
Blue Jasmine,2013
Gravity,2013
Philomena,2013
Saving Mr. Banks,2013
Labor Day,2013
Still Alice,2014
Cake,2014
The Theory of Everything,2014
Gone Girl,2014
Wild,2014
Room,2015
Carol,2015
Brooklyn,2015
The Danish Girl,2015
Elle,2016
Arrival,2016
Miss Sloane,2016
Loving,2016
Jackie,2016
The Song of Bernadette,1943
Gaslight,1944
The Bells of St. Mary's,1945
Sister Kenny,1946
Mourning Becomes Electra,1947
Johnny Belinda,1948
The Heiress,1949
Saturday Night and Sunday Morning,1960
Pollyanna,1960
Sons and Lovers,1960
A Taste of Honey,1961
The Sundowners,1961
Whistle Down the Wind,1961
The L-Shaped Room,1962
The Wild and the Willing,1962
Life for Ruth,1962
Billy Liar,1963
Tom Jones,1963
The Servant,1963
Sparrers Can't Sing,1963
Charade,1964
Girl with Green Eyes,1964
The Americanization of Emily,1965
Young Cassidy,1965
The Knack...and How to Get It,1965
Who's Afraid of Virginia Woolf,1966
Doctor Zhivago,1966
Georgy Girl,1966
Morgan: A Suitable Case for Treatment,1966
Ulysses,1967
The Taming of the Shrew,1967
The Apartment,1960
The Angry Silence,1960
Never on Sunday,1960
Hiroshima mon amour,1960
The Adventure,1960
Two Women,1961
Rocco and His Brothers,1961
The Hustler,1961
Breathless,1961
Through a Glass Darkly,1962
Lola,1962
Jules and Jim,1962
Sweet Bird of Yout,1962
Splendor in the Grass,1962
Hud,1963
Days of Wine and Roses,1963
Divorce Italian Style,1963
Sance on a Wet Afternoon,1964
Irma la Douce,1964
In Harm's Way,1965
Cat Ballou,1965
Zorba the Greek,1965
Viva Maria!,1966
The Group,1966
The Sleeping Car Murders,1966
A Man and a Woman,1967
Persona,1967
Barefoot in the Park,1967
The Deadly Affair,1967
The Graduate,1968
Beauty of the Day,1968
Secret Ceremony,1969
Women in Love,1969
Funny Girl,1969
Butch Cassidy and the Sundance Kid,1970
"They Shoot Horses, Don't They?",1970
Cactus Flower,1970
Sunday Bloody Sunday,1971
Taking Off,1971
The Go-Between,1971
The Raging Moon,1971
Cabaret,1972
The Butcher,1972
Young Winston,1972
Savage Messiah,1972
Just Before Nightfall,1973
Don't Look Now,1973
A Touch of Class,1973
Lady Sings the Blues,1973
"Summer Wishes, Winter Dreams",1974
The Way We Were,1974
The Autobiography of Miss Jane Pittman,1974
Alice Doesn't Live Here Anymore,1975
The Prisoner of Second Avenue,1975
Lenny,1975
Scenes from a Marriage,1975
One Flew Over the Cuckoo's Nest,1976
The Shootist,1976
The Ritz,1976
Annie Hall,1977
Network,1977
3 Women,1977
The Late Show,1977
Julia,1978
The Turning Point,1978
The Goodbye Girl,1978
Manhattan,1979
California Suite,1979
The Deer Hunter,1979
My Brilliant Career,1980
Being There,1980
The Rose,1980
Kramer vs. Kramer,1980
Ordinary People,1981
Quartet,1981
Coal Miner's Daughter,1981
On Golden Pond,1982
Reds,1982
36 Chowringhee Lane,1982
Educating Rita,1983
Tootsie,1983
"Another Time, Another Place",1983
Sophie's Choice,1983
A Private Function,1984
Terms of Endearment,1984
Cal,1984
Silkwood,1984
A Passage to India,1985
The Purple Rose of Cairo,1985
Witness,1985
Letter to Brezhnev,1985
A Room with a View,1986
Hannah and Her Sisters,1986
Out of Africa,1986
Mona Lisa,1986
84 Charing Cross Road,1987
Wish You Were Here,1987
Hope and Glory,1987
Personal Services,1987
The Lonely Passion of Judith Hearne,1988
Babette's Feast,1988
Moonstruck,1988
A Fish Called Wanda,1988
Shirley Valentine,1989
Dangerous Liaisons,1989
The Accused,1989
Working Girl,1989
Driving Miss Daisy,1990
Postcards from the Edge,1990
The Fabulous Baker Boys,1990
Pretty Woman,1990
"Truly, Madly, Deeply",1991
Husbands and Wives,1992
Strictly Ballroom,1992
Fried Green Tomatoes,1992
Tom and Viv,1993
Shadowlands,1993
The Client,1994
The Last Seduction,1994
Three Colours: Red (Trois couleurs: Rouge),1994
Pulp Fiction,1994
To Die For,1995
The Madness of King George,1995
Secrets and Lies,1996
Fargo,1996
Mrs Brown,1997
L.A. Confidential,1997
Nil by Mouth,1997
Little Voice,1998
Shakespeare in Love,1998
East is East,1999
Angela's Ashes,1999
Chocolat,2000
Almost Famous,2000
Boys Don't Cry,2000
"Crouching Tiger, Hidden Dragon",2000
Amlie,2001
Bridget Jones's Diary,2001
Monster's Ball,2002
Chicago,2002
Lost in Translation,2003
The Mother,2003
21 Grams,2003
Monster,2004
Sylvia Llewelyn Davies,2004
House of Flying Daggers,2004
Walk the Line,2005
Mrs Henderson Presents,2005
The Constant Gardener,2005
The Devil Wears Prada,2006
La Vie en Rose,2007
Juno,2007
The Reader,2008
The Lovely Bones,2009
Julie and Julia,2009
Coco Before Chanel,2009
The Girl with the Dragon Tattoo,2010
True Grit,2010
The Artist,2011
My Week with Marilyn,2011
Amour,2012
Silver Linings Playbook,2012
American Hustle,2013
Big Eyes,2014
The Lady in the Van,2015
La La Land,2016
The Girl on the Train,2016
Florence Foster Jenkins,2016
To Sleep with Anger,1990
Bail Jumper,1990
Metropolitan,1990
Impromptu,1991
Twenty-One,1991
The Rapture,1991
Bright Angel,1991
The Search for Signs of Intelligent Life in the Universe,1991
Gas Food Lodging,1992
Laws of Gravity,1992
Johnny Suede,1992
Twin Peaks: Fire Walk with Me,1992
One False Move,1992
Ruby in Paradise,1993
The Ballad of Little Jo,1993
The Wedding Banquet,1993
Just Another Girl on the I.R.T.,1993
Much Ado About Nothing,1993
What Happened Was...,1994
I Like It Like That,1994
Eat Drink Man Woman,1994
Georgia,1995
Nadja,1995
Safe,1995
The Addiction,1995
Caught,1996
Manny & Lo,1996
Walking and Talking,1996
The Whole Wide World,1996
Afterglow,1997
In the Company of Men,1997
All Over Me,1997
Sunday,1997
Loved,1997
High Art,1998
Claire Dolan,1998
The Opposite of Sex,1998
"Niagara, Niagara",1998
Down in the Delta,1998
A Walk on the Moon,1999
Tumbleweeds,1999
Valerie Flake,1999
Election,1999
Love & Basketball,2000
Two Family House,2000
Things Behind the Sun,2001
The Center of the World,2001
Lift,2001
The Good Girl,2002
Secretary,2002
Lovely & Amazing,2002
Personal Velocity,2002
Blue Car,2003
All the Real Girls,2003
In America,2003
Virgin,2003
Maria Full of Grace,2004
Woman Thou Art Loosed,2004
Down to the Bone,2004
On the Outs,2004
Cavedweller,2004
Forty Shades of Blue,2005
The Squid and the Whale,2005
Lackawanna Blues,2005
Room,2005
Half Nelson,2006
For Your Consideration,2006
Sweet Land,2006
Land of Plenty,2006
"Sorry, Haters",2006
Interview,2007
Broken English,2007
"Lust, Caution",2007
Frozen River,2008
Towelhead,2008
Ballast,2008
Wendy and Lucy,2008
Downloading Nancy,2009
Amreeka,2009
Two Lovers,2009
The Kids Are All Right,2010
Greenberg,2010
About Sunny,2011
Natural Selection,2011
Pariah,2011
Martha Marcy May Marlene,2011
Return,2012
Middle of Nowhere,2012
Beasts of the Southern Wild,2012
Smashed,2012
Before Midnight,2013
Crystal Fairy,2013
Short Term 12,2013
The Spectacular Now,2013
The Immigrant,2014
Kumiko: The Treasure Hunter,2014
Obvious Child,2014
